first_name,last_name,address,mobile,drivers_license,dob,age,home_owner,monthly_income,income_verified,employer,total_session_duration,avg_pages_per_session,bounce_rate_flag,scroll_depth_pct,repeat_visitor_count,device_switching,traffic_paid_pct,traffic_organic_pct,time_outside_hours_pct,time_step1,time_step2,time_step3,inter_step_latency,drop_off_step,form_edits,funnel_revisits,funnel_friction_score,email_open_rate,email_click_through_rate,time_to_first_email_open,sms_bounce_rate,sms_reply_rate,click_to_call_ratio,reply_sentiment_score,opt_out_flag,days_since_last_application,days_since_last_session,days_since_last_email_open,days_since_last_sms_reply,event_recency_bucket,frequency_last_30_days,inverse_recency_weight,recency_frequency_interaction,referral_code_used,geo_behavior_distance,support_chat_activity,credit_check_days_ago,risk_proxy_flag,converted
Brenda,Marsh,"7951 Mcintosh Prairie, East Dawnshire, FL 32946",324.171.5455,sP643452,1983-04-30,42,1,2965.47,0,Perez Group,102.41,2.53,0,0.17,8,3,0.62,0.38,0.89,50.62,160.32,264.44,90.19,completed,2,0,0.7,0.7,0.17,53.55,0.16,0.81,0.87,0.83,0,150,28,0,4,>90 days,1,0.006622516556291391,0.006622516556291391,0,25.81,1,57,0,0
Regina,Novak,"191 Kelly Summit, Scottmouth, WA 55184",+1-033-236-7028x2623,gW501421,1993-10-21,31,0,4762.94,0,"Perez, Taylor and Weaver",128.88,7.32,0,0.39,9,10,0.58,0.42,0.13,145.02,167.37,93.1,72.95,3,1,1,0.03,0.04,0.02,65.47,0.03,0.52,0.77,-0.57,1,62,60,51,26,30–90 days,4,0.015873015873015872,0.06349206349206349,0,31.33,1,42,1,0
Stefanie,Medina,"099 Goodwin Row Apt. 592, Davidside, OH 80554",+1-024-225-3985x5598,HV513415,1982-03-03,43,1,1499.23,1,Scott-Obrien,211.34,7.53,1,0.42,2,10,0.44,0.56,0.16,17.35,289.17,252.43,85.04,completed,0,3,0.41,0.17,0.03,45.79,0.11,0.71,0.66,-0.44,1,27,31,12,12,7–30 days,9,0.03571428571428571,0.32142857142857145,1,47.77,2,27,0,1
Kathy,Leach,"0507 Vincent Rapids, Donnastad, NE 14403",+1-494-276-1732x5558,mx558592,1960-11-08,64,0,2371.43,0,Perkins-Oneill,66.08,4.78,0,0.54,15,8,0.49,0.51,0.48,60.23,135.82,125.57,75.82,completed,0,0,0.64,0.05,0.01,113.03,0.1,0.86,0.66,-0.67,0,60,21,26,31,30–90 days,8,0.01639344262295082,0.13114754098360656,0,3.99,6,57,0,1
Crystal,Jackson,"040 Kimberly Forest Apt. 721, West Williamfort, NC 00693",1561647544,jn426283,2006-10-24,18,0,4872.01,1,Scott and Sons,42.56,9.46,0,0.34,9,7,0.94,0.06,0.41,288.75,272.55,66.78,12.98,2,3,3,0.1,0.02,0.0,123.26,0.01,0.32,0.84,-0.95,0,48,37,13,3,30–90 days,10,0.02040816326530612,0.20408163265306123,0,40.82,5,3,0,0
Christian,Smith,"4282 Daniel Squares Suite 952, Evanston, RI 93660",001-029-882-3286x11766,PQ182852,1969-05-21,56,0,5111.32,0,Sanchez-Mclaughlin,29.57,6.66,1,0.27,17,1,0.75,0.25,0.75,297.25,129.66,117.89,94.29,1,0,0,0.34,0.93,0.41,77.79,0.15,0.75,0.1,0.81,0,103,15,60,56,>90 days,10,0.009615384615384616,0.09615384615384616,0,25.51,9,38,0,1
Margaret,Cook,"63758 Hannah Crossroad Apt. 450, Johnstonburgh, MA 75017",642.777.8477,Pi565998,2002-12-20,22,1,3876.75,1,"Johns, Burns and Edwards",32.35,4.5,0,0.44,9,3,0.95,0.05,0.56,193.23,140.05,95.03,42.8,2,1,2,0.67,0.75,0.31,142.34,0.02,0.49,0.06,0.1,1,33,85,41,19,30–90 days,8,0.029411764705882353,0.23529411764705882,1,22.36,1,0,1,0
Carmen,Jordan,"0986 Flores Hills Apt. 290, Barbaraborough, WY 82980",103-138-5448x0647,lC637680,1967-06-30,57,0,2386.91,0,Miller Inc,38.96,2.29,0,0.44,18,3,0.71,0.29,0.17,34.6,296.13,118.54,47.62,2,1,2,0.81,0.95,0.47,135.85,0.08,0.08,0.78,0.12,0,62,47,18,10,30–90 days,8,0.015873015873015872,0.12698412698412698,1,21.5,9,51,0,0
Catherine,Burke,"542 Marvin Forks, Robertview, IA 29020",0699359282,eO015718,1991-03-23,34,1,3203.82,0,Weiss Group,39.18,1.51,0,0.17,5,4,0.96,0.04,0.4,92.86,261.89,74.84,115.77,completed,0,1,0.01,0.97,0.11,160.51,0.11,0.99,0.07,0.11,1,72,77,13,45,30–90 days,6,0.0136986301369863,0.0821917808219178,0,48.48,10,40,1,1
Judy,Werner,"880 Fernando Glen, New Jasmine, IL 09777",602-045-8221x5010,Qd470012,1977-03-11,48,1,3770.86,0,"Rowe, Glenn and Salinas",200.07,5.09,0,0.34,3,10,0.28,0.72,0.25,144.47,112.47,179.26,13.94,3,2,0,0.97,0.99,0.38,96.96,0.06,0.81,0.68,-0.67,0,85,16,40,16,30–90 days,3,0.011627906976744186,0.03488372093023256,1,45.59,8,45,1,1
Samantha,Mclaughlin,"638 Stein Stravenue Suite 733, Jamesborough, IL 07955",010-396-7750x81880,Eg786475,2002-11-21,22,0,3976.31,0,Hall-Erickson,84.59,9.39,1,0.49,5,8,0.99,0.01,0.22,182.3,120.46,291.28,101.84,completed,2,1,0.84,0.47,0.12,49.94,0.01,0.86,0.81,1.0,1,32,5,19,23,30–90 days,1,0.030303030303030304,0.030303030303030304,1,49.83,3,43,0,0
Parker,Wood,"199 Nolan Village Suite 311, Jameschester, CT 78668",246-263-7984x5615,lw546058,2004-07-14,20,1,2717.78,1,Rodriguez-Green,134.71,8.65,0,0.48,20,2,0.62,0.38,0.39,42.93,204.76,160.89,93.82,1,1,1,0.52,0.85,0.27,101.41,0.18,0.4,0.13,-0.94,1,6,22,47,59,<7 days,6,0.14285714285714285,0.8571428571428571,1,37.88,10,55,0,1
Martin,Rodriguez,"3374 Elliott Freeway Suite 681, Lake Taylor, KS 51733",+1-109-564-9608x96826,vj042126,1993-03-06,32,0,3535.49,1,Sanchez-Alvarado,132.68,2.23,0,0.63,2,7,0.9,0.1,0.38,159.06,237.26,125.0,76.54,1,1,3,0.86,0.95,0.15,166.86,0.1,0.26,0.46,0.96,1,78,29,14,1,30–90 days,4,0.012658227848101266,0.05063291139240506,1,24.88,5,17,0,0
Christina,Taylor,"950 Brandi Pass Apt. 406, Loristad, MD 47160",514-463-3726,Zb168551,1983-07-08,41,1,4444.34,1,Lee Group,107.3,1.68,0,0.13,17,6,0.9,0.1,0.48,203.59,59.97,65.76,9.7,2,0,0,0.17,0.28,0.05,16.88,0.02,0.46,0.21,-0.27,1,45,74,16,2,30–90 days,2,0.021739130434782608,0.043478260869565216,1,25.42,5,46,1,0
Cheyenne,Shaw,"78632 Karen Trace, Maldonadoburgh, IA 25061",001-764-768-6952x402,zr242048,1967-12-03,57,0,3487.67,1,Drake Group,46.15,6.65,0,0.2,19,3,0.18,0.82,0.27,117.44,150.51,189.29,47.43,2,0,3,0.46,0.75,0.09,46.19,0.14,0.9,0.51,0.06,0,133,68,43,46,>90 days,4,0.007462686567164179,0.029850746268656716,1,5.81,6,4,1,0
Martha,Young,"978 Henry Ramp, Jacobsmouth, WV 41315",(311)528-1104,Hv874563,1968-10-15,56,0,2379.64,1,Myers Group,135.28,3.42,0,0.03,17,4,0.12,0.88,0.81,182.14,206.94,238.86,62.32,3,2,3,0.09,0.54,0.18,134.43,0.09,0.13,0.28,-0.27,1,141,16,12,26,>90 days,7,0.007042253521126761,0.04929577464788732,0,32.47,9,36,1,0
Tracey,Pittman,"USNV Rivera, FPO AE 58265",3981077677,JL007985,1963-12-03,61,0,2345.63,1,Blackwell-Garcia,96.03,3.14,0,0.25,10,3,0.29,0.71,0.24,270.06,33.27,162.11,52.2,3,4,2,0.98,0.11,0.03,174.54,0.17,0.82,0.26,-0.66,1,113,56,43,13,>90 days,9,0.008771929824561403,0.07894736842105263,1,33.6,2,42,0,1
Sandra,Soto,"953 Susan Stravenue, Barronburgh, MN 30586",181.098.5998x65500,Ot071302,1988-07-17,36,1,3099.33,0,Greene-Martin,85.11,3.52,0,0.27,8,10,0.24,0.76,0.19,187.08,93.7,178.56,22.75,2,1,1,0.48,0.53,0.06,61.25,0.03,0.06,0.99,-0.36,0,6,5,15,30,<7 days,10,0.14285714285714285,1.4285714285714286,0,40.59,7,26,0,0
Michele,George,"539 Teresa Trafficway Suite 139, North Nina, CT 37902",634-337-6399x03600,PQ060391,1981-11-13,43,1,3835.69,1,Davis-Allen,17.77,6.36,0,0.12,13,3,0.07,0.93,0.69,176.6,254.13,50.53,96.46,1,5,0,0.2,0.16,0.03,146.81,0.13,0.52,0.36,0.75,0,108,28,11,51,>90 days,9,0.009174311926605505,0.08256880733944955,1,19.93,0,35,0,0
Stephanie,Jacobson,"5820 Cooke Mountains Apt. 957, Stephanieside, NJ 35651",634-318-8271x95452,Sp180236,1971-01-14,54,0,3089.39,1,Fritz-Cortez,40.92,5.16,0,0.66,5,7,0.38,0.62,0.53,272.88,191.03,43.9,113.08,2,3,3,0.63,0.33,0.05,143.13,0.12,0.53,0.89,0.58,1,40,60,28,16,30–90 days,4,0.024390243902439025,0.0975609756097561,1,8.01,8,31,0,1
Luke,Armstrong,"18380 Kevin Squares Suite 759, Lake Jesse, AL 46776",001-089-629-4583,Yr676498,1999-11-25,25,0,3016.05,1,Patterson-Murphy,18.52,1.3,0,0.17,8,4,0.11,0.89,0.78,46.97,125.21,241.22,22.24,2,2,0,0.23,0.72,0.28,115.77,0.14,0.54,0.25,-0.31,0,38,29,24,44,30–90 days,3,0.02564102564102564,0.07692307692307693,0,9.49,1,26,1,1
Kristina,Jones,"USNV Parks, FPO AE 03810",(538)222-0154,Vi908564,1990-09-09,34,1,3829.14,1,Thomas Group,56.9,5.16,1,0.37,2,3,0.02,0.98,0.8,280.31,173.89,212.03,111.09,3,3,0,0.71,0.15,0.05,109.6,0.08,0.74,0.93,0.85,1,122,0,60,22,>90 days,5,0.008130081300813009,0.04065040650406504,1,22.82,6,34,0,0
Alexis,Perez,"Unit 2944 Box 2942, DPO AP 90687",723-101-1232x361,ti291299,1969-09-03,55,1,5643.57,1,"Cook, Watson and Welch",226.85,1.49,0,0.27,16,0,0.35,0.65,0.38,223.88,141.14,75.14,57.03,3,2,3,0.14,0.18,0.05,75.99,0.18,0.36,0.58,0.26,0,119,16,39,34,>90 days,1,0.008333333333333333,0.008333333333333333,1,1.15,9,36,0,1
Gerald,Anderson,"067 Lee Vista Suite 509, West Rebecca, NH 01345",+1-769-690-7847x2761,BH590351,1962-06-20,62,1,679.26,0,Perry-Johnson,20.05,2.34,0,0.34,15,2,0.07,0.93,0.7,70.87,270.44,69.49,26.93,completed,2,3,0.04,0.47,0.15,12.76,0.16,0.45,0.52,-0.12,1,54,58,20,21,30–90 days,7,0.01818181818181818,0.12727272727272726,1,20.34,6,16,0,0
Jennifer,Tucker,"4230 Fields Isle Apt. 309, Rodgersland, NE 16704",+1-591-063-3854,TW049984,1967-04-05,58,0,3158.26,1,Brady-Moss,16.86,8.76,1,0.22,8,10,0.03,0.97,0.22,217.63,201.09,17.86,30.53,completed,5,0,0.23,0.67,0.07,19.64,0.16,0.18,0.65,-0.52,0,63,25,53,1,30–90 days,10,0.015625,0.15625,0,5.42,3,8,1,0
Jonathan,Powers,"22887 Stephen Alley, South Amanda, MO 76728",(186)684-2992x2363,Nj206803,1987-09-17,37,0,1673.46,1,Williams-Potter,88.61,8.47,0,0.18,9,5,0.01,0.99,0.17,70.29,17.69,62.62,72.05,1,4,0,0.42,0.89,0.38,62.19,0.05,0.38,0.59,-0.46,0,79,13,37,1,30–90 days,5,0.0125,0.0625,1,31.4,6,60,0,1
Michael,Baker,"7417 Daniel Stream Apt. 475, West Heather, AK 32644",8661134987,Oj186628,1979-08-28,45,0,2062.64,0,Johnson-Perkins,115.49,3.65,1,0.02,10,10,0.43,0.57,0.12,87.92,167.07,193.71,34.66,completed,4,0,0.14,0.83,0.41,95.1,0.03,0.27,0.02,0.83,1,136,54,42,23,>90 days,2,0.0072992700729927005,0.014598540145985401,1,6.33,0,54,1,0
William,Phillips,"298 Jodi Manor Apt. 512, Michaelton, MA 44696",320.416.8680x71779,BF271640,1992-12-11,32,0,2969.04,1,Levine-Ellis,9.72,6.86,1,0.21,12,10,0.18,0.82,0.83,131.44,121.11,160.49,10.4,3,5,1,0.17,0.74,0.1,108.96,0.05,0.39,0.29,-0.29,1,45,66,41,17,30–90 days,10,0.021739130434782608,0.21739130434782608,1,36.09,7,27,1,1
Cheryl,Frazier,"9656 Kevin Motorway, Cherylview, IL 03484",+1-484-636-4057x938,Ai132781,2003-04-23,22,0,4570.49,0,Collins-Fritz,75.69,6.97,1,0.04,9,7,0.5,0.5,0.58,106.93,233.56,40.91,13.64,1,3,3,0.73,0.5,0.19,78.83,0.05,0.82,0.8,0.39,1,7,63,54,20,7–30 days,3,0.125,0.375,1,13.97,3,22,1,1
Amber,Walker,"067 Brennan Via, Kaiserstad, KS 37719",966.972.1908x4331,bx394206,1989-03-22,36,1,1480.82,0,"Rojas, Wilson and Gamble",8.09,9.26,0,0.61,17,3,0.87,0.13,0.69,243.9,201.05,210.76,102.66,completed,1,3,0.25,0.49,0.09,177.79,0.19,0.04,0.71,0.85,1,142,30,44,30,>90 days,8,0.006993006993006993,0.055944055944055944,1,9.44,0,5,1,1
Shelby,Solomon,"20424 Charlene Wall, East Joseside, NC 60371",(716)370-7278,Fw690414,1971-12-05,53,0,2773.75,1,Woods-Huynh,88.87,7.28,0,0.2,19,5,0.32,0.68,0.76,20.73,182.92,76.7,18.87,3,4,2,0.08,0.7,0.17,130.73,0.01,0.32,0.54,0.58,1,140,42,22,44,>90 days,8,0.0070921985815602835,0.05673758865248227,1,16.28,4,16,0,1
Lisa,Blankenship,"8261 Jacqueline Circle, Katherineport, VA 76458",454-247-8960x054,Mj714374,1966-03-03,59,0,2919.58,1,Lin Inc,91.7,3.1,0,0.24,4,8,1.0,0.0,0.38,232.48,126.56,149.16,77.16,1,1,1,0.87,0.98,0.4,75.78,0.08,0.74,0.24,-0.78,1,70,75,48,33,30–90 days,10,0.014084507042253521,0.14084507042253522,1,18.05,1,53,0,1
Cynthia,Perkins,"29948 Mark Cliff, Melissaport, MA 54227",(231)390-6345,Hp196543,1966-09-25,58,1,3047.02,0,"Rose, Williams and Stewart",20.28,1.38,0,0.29,10,0,0.22,0.78,0.86,238.04,35.93,131.1,106.1,1,2,0,0.94,0.47,0.16,30.9,0.2,0.23,0.94,0.3,0,141,37,44,60,>90 days,3,0.007042253521126761,0.02112676056338028,1,30.58,1,55,0,0
Jodi,Dickson,"444 Cody Lodge, South Evan, ND 86000",(830)162-5094x4826,nF131509,1976-10-08,48,1,1792.6,1,"Brown, Bishop and Gates",10.51,2.98,0,0.32,15,5,0.88,0.12,0.84,298.52,60.43,124.91,92.2,1,0,2,0.7,0.15,0.06,41.17,0.04,0.54,0.59,0.16,1,29,8,25,31,7–30 days,2,0.03333333333333333,0.06666666666666667,0,5.03,2,9,1,1
Timothy,Graham,"56254 Melvin Plains, North Michelle, MI 78407",985.163.9900,Sq798796,1961-10-12,63,0,2831.89,0,Mcguire-Brown,37.23,9.0,1,0.3,18,6,0.09,0.91,0.43,118.08,85.33,219.79,62.03,1,4,3,0.08,0.22,0.08,14.63,0.17,0.5,0.48,0.18,1,113,38,55,37,>90 days,7,0.008771929824561403,0.06140350877192982,1,41.32,9,39,0,0
Courtney,Hunter,"710 Dominic Greens, Robertshaven, WV 37456",001-608-495-3585,LE226489,1959-12-15,65,0,4083.61,0,Cowan-Gordon,120.8,3.4,1,0.08,7,4,0.71,0.29,0.77,212.27,207.24,189.4,91.56,completed,1,1,0.16,0.88,0.39,6.24,0.17,0.13,0.34,0.49,0,141,9,10,0,>90 days,7,0.007042253521126761,0.04929577464788732,1,8.46,9,30,1,1
Mark,Esparza,"70486 Stephanie Throughway Apt. 250, North Kelsey, WY 67970",+1-577-260-8694x3189,nM283168,1968-11-12,56,1,3421.68,1,Thomas-Hernandez,68.01,1.06,0,0.32,15,1,0.63,0.37,0.53,236.16,41.02,230.7,67.25,1,2,1,0.96,0.34,0.12,167.83,0.02,0.94,0.69,-0.86,1,29,69,14,41,7–30 days,3,0.03333333333333333,0.1,1,15.4,2,4,0,1
Jessica,Munoz,"1309 Michael Inlet Apt. 669, New Brianville, IA 35499",9946471850,Ap663323,2001-12-29,23,1,3089.96,1,Porter PLC,37.22,4.11,0,0.26,15,1,0.02,0.98,0.36,151.71,233.42,208.16,56.28,3,5,2,0.27,1.0,0.27,81.8,0.03,0.79,0.69,-0.56,1,69,64,34,31,30–90 days,8,0.014285714285714285,0.11428571428571428,0,4.58,9,2,1,0
Denise,Ortiz,"63619 Sara Lane, East Damon, WA 66321",9208826431,pG335899,1987-01-21,38,1,2474.19,0,Guzman Inc,107.25,9.56,0,0.47,3,3,0.4,0.6,0.32,295.35,128.71,269.29,31.44,completed,5,2,0.21,0.03,0.01,66.97,0.17,0.47,0.97,-0.63,0,44,60,33,41,30–90 days,8,0.022222222222222223,0.17777777777777778,1,43.5,2,37,1,0
Michelle,Peters,"749 Green Ridge, Brandonchester, SD 97411",001-042-480-0639x6514,Tk133343,1971-05-11,54,1,3633.27,0,Fox-Griffin,82.72,7.85,0,0.26,16,5,0.12,0.88,0.2,208.81,134.79,68.15,61.53,3,2,2,0.06,0.58,0.12,143.76,0.06,0.46,0.01,-0.86,0,41,42,26,44,30–90 days,8,0.023809523809523808,0.19047619047619047,1,19.93,10,60,1,0
Karen,Thompson,"8429 Christopher Squares, Melissaport, MS 49593",(549)515-8661x6860,yJ079062,1968-10-09,56,0,3491.4,1,Rowland LLC,219.88,7.25,1,0.19,3,5,0.24,0.76,0.89,51.32,154.68,189.27,85.78,2,2,0,0.56,0.01,0.0,93.67,0.02,0.35,0.03,-0.84,1,131,0,42,55,>90 days,9,0.007575757575757576,0.06818181818181818,1,20.15,6,3,0,0
Kathryn,Jackson,"2485 Wendy Crescent, South Angelaborough, MN 00795",+1-504-508-4963x36170,MC700214,1982-09-13,42,1,2429.0,1,Jacobson-Baldwin,57.96,8.21,0,0.11,2,3,0.03,0.97,0.85,25.07,166.98,215.63,105.16,2,4,1,0.71,0.8,0.19,146.85,0.02,0.89,0.55,0.63,1,112,89,31,7,>90 days,1,0.008849557522123894,0.008849557522123894,0,22.89,2,19,0,1
Aaron,Campbell,"00674 Thornton Mission Suite 412, Port Jacquelinestad, MO 50403",+1-586-855-4429,IU108528,1961-05-05,64,0,2201.45,0,Miller and Sons,67.21,1.73,0,0.7,4,7,0.66,0.34,0.5,171.06,218.57,76.25,119.58,completed,5,1,0.97,0.65,0.12,122.76,0.01,0.03,0.26,-0.07,1,74,65,45,17,30–90 days,7,0.013333333333333334,0.09333333333333334,1,43.48,7,15,1,0
Jesse,Copeland,"2183 Thompson Mission Apt. 908, New Josephtown, LA 34721",+1-794-557-6300x647,Pj207041,1968-07-27,56,1,2470.7,0,"Salazar, Olsen and Flynn",95.53,4.11,0,0.6,20,8,0.49,0.51,0.8,271.2,132.3,90.28,73.12,1,0,2,0.91,0.21,0.07,114.05,0.15,0.13,0.72,0.82,1,87,64,17,52,30–90 days,1,0.011363636363636364,0.011363636363636364,1,9.39,4,53,1,0
Jennifer,Mcclain,"226 Wright Springs, South Jerry, MT 49852",340-681-8034,eC148183,1972-03-28,53,1,5001.74,1,Mitchell-Jordan,63.62,3.23,1,0.5,12,5,0.16,0.84,0.41,291.13,84.86,200.45,42.4,3,3,2,0.77,0.13,0.06,82.23,0.05,0.07,0.17,0.04,0,178,30,36,24,>90 days,4,0.00558659217877095,0.0223463687150838,1,17.18,0,20,1,0
Paul,Hernandez,"28031 White Lock, Gregoryhaven, NY 40889",+1-066-887-6216x69370,nq759756,1963-04-12,62,1,3235.2,1,"Mann, Hampton and Massey",40.62,6.55,0,0.36,5,7,0.84,0.16,0.74,179.75,261.8,69.69,17.87,completed,1,2,0.27,0.06,0.02,168.65,0.01,0.12,0.45,0.87,0,112,12,33,58,>90 days,8,0.008849557522123894,0.07079646017699115,0,16.15,2,26,0,1
Shawn,Delgado,"16967 Carter Shoals Suite 974, Smithberg, NE 53071",001-695-854-8626x8630,wV894501,1959-05-18,66,1,4222.5,1,Olson PLC,30.49,9.88,1,0.25,20,6,0.45,0.55,0.51,151.77,203.39,50.5,8.45,completed,2,3,0.31,0.7,0.13,121.54,0.19,0.09,0.67,-0.11,1,160,62,55,34,>90 days,1,0.006211180124223602,0.006211180124223602,0,43.47,3,40,1,0
Heather,Banks,"69239 Nelson River Apt. 259, East Ashleyport, OR 83979",722-735-4370x109,ua392657,1982-04-12,43,0,3452.53,1,"Saunders, Khan and Marquez",74.33,9.5,0,0.09,4,10,0.03,0.97,0.84,209.96,206.19,72.55,80.77,completed,3,1,0.39,0.65,0.09,118.75,0.2,0.05,0.98,-0.19,1,7,5,20,50,7–30 days,1,0.125,0.125,1,43.6,5,23,1,1
Nicole,Lozano,"109 Teresa Meadows, Kyleborough, WY 14409",604.629.2950x4666,xY275587,1974-03-14,51,1,3307.62,0,"Valenzuela, Harrell and Shaffer",64.39,8.91,0,0.37,6,2,0.8,0.2,0.45,247.17,44.86,167.9,5.66,completed,4,3,0.32,0.37,0.1,125.49,0.08,0.45,0.24,-0.25,0,127,74,9,14,>90 days,8,0.0078125,0.0625,1,11.75,7,16,0,0
Lonnie,Davis,"PSC 9518, Box 5947, APO AP 57093",5621291978,LC504800,1989-04-06,36,1,3569.95,1,Parks Inc,56.86,6.58,0,0.16,18,2,0.03,0.97,0.37,120.26,125.66,178.25,66.36,completed,3,2,0.61,0.76,0.32,129.54,0.19,0.02,0.2,-0.98,1,163,54,44,16,>90 days,8,0.006097560975609756,0.04878048780487805,1,32.55,3,24,1,1
Paul,Oneill,"751 Barnes Light Suite 857, Seanview, SC 14575",776-639-9013x35001,kG157959,1996-08-25,28,1,4126.12,1,"Bryant, Jones and Sanchez",40.84,1.54,1,0.33,19,4,0.28,0.72,0.35,242.88,166.36,100.28,75.19,2,0,3,0.72,0.27,0.07,22.82,0.04,0.68,0.18,0.05,1,2,72,55,43,<7 days,1,0.3333333333333333,0.3333333333333333,1,35.6,4,49,0,0
Michael,Gomez,"38021 Wright Centers, North Matthew, WA 35829",211.189.0969x0448,tc578125,1971-03-05,54,1,2049.65,0,"Hendrix, Garcia and Lee",56.48,9.67,0,0.17,7,9,0.95,0.05,0.58,247.56,266.42,76.14,29.39,2,5,1,0.61,0.41,0.18,162.1,0.07,0.24,0.78,-0.45,0,160,82,2,19,>90 days,8,0.006211180124223602,0.049689440993788817,0,41.22,9,23,0,1
